,display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,link,multimedia
0,One Cut of the Dead,Not Rated,1,Elisabeth Vincentelli,‘One Cut of the Dead’ Review: A Fresh Take on the Zombie Flick,A one-take movie stunt is justified in the Japanese director Shinichiro Ueda’s fast and furious backstage comedy.,2019-12-25,2019-09-24,2019-12-25 14:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/25/movies/one-cut-of-the-dead-review.html', 'suggested_link_text': 'Read the New York Times Review of One Cut of the Dead'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/01/03/arts/03onecut1/onecut1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
1,Clemency,R,0,Manohla Dargis,‘Clemency’ Review: No Place for Mercy,A tremendous Alfre Woodard plays a warden at a prison whose world is upended by the fate of death-row inmates.,2019-12-25,2019-12-27,2020-01-17 17:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/25/movies/clemency-review.html', 'suggested_link_text': 'Read the New York Times Review of Clemency'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/27/arts/00clemency-1/merlin_166233522_eea98ec8-52b7-4cae-b3d4-0c10b1e54ab9-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
2,The 21st Annual Animation Show of Shows,,0,Glenn Kenny,Review: Animated Shorts of Every Stripe and Feather,"Find a pen-and-ink dog, stop-motion girl and a C.G.I. fox in “The 21st Annual Animation Show of Shows.”",2019-12-24,2019-12-25,2020-01-13 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/24/movies/animation-show-of-shows-review.html', 'suggested_link_text': 'Read the New York Times Review of The 21st Annual Animation Show of Shows'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/25/arts/24showofshows1/merlin_166233396_e8c73e00-b6b4-46c0-b9ab-421b2d8c83af-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
3,Just Mercy,PG-13,0,A.O. Scott,‘Just Mercy’ Review: Echoes of Jim Crow on Alabama’s Death Row,Jamie Foxx and Michael B. Jordan star in an adaptation of a memoir by the civil rights lawyer Bryan Stevenson.,2019-12-24,2020-01-10,2020-01-24 17:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/24/movies/just-mercy-review.html', 'suggested_link_text': 'Read the New York Times Review of Just Mercy'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/24/arts/24justmercy-hppromo/24justmercy-hppromo-mediumThreeByTwo210-v3.jpg', 'height': 140, 'width': 210}"
4,What She Said: The Art of Pauline Kael,,0,Jeannette Catsoulis,"‘What She Said’ Review: Pauline Kael, Screen Queen","Kael’s distinctively passionate voice, competing with movie fragments, is disastrously muffled, as are those of her admirers and detractors.",2019-12-24,2019-12-25,2020-01-15 17:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/24/movies/what-she-said-the-art-of-pauline-kael-review.html', 'suggested_link_text': 'Read the New York Times Review of What She Said: The Art of Pauline Kael'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/25/arts/24whatshesaid-alt/24whatshesaid-alt-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
5,Ip Man 4: The Finale,,0,Ben Kenigsberg,‘Ip Man 4: The Finale’ Review: Head Punches and Heart,Lessons about intolerance are interwoven with the hand-to-hand skirmishes the series is known for.,2019-12-24,,2020-01-24 17:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/24/movies/ip-man-4-the-finale-review.html', 'suggested_link_text': 'Read the New York Times Review of Ip Man 4: The Finale'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/24/arts/24ipman/24ipman-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
6,1917,R,0,Manohla Dargis,‘1917’ Review: Paths of Technical Glory,Sam Mendes directs this visually extravagant drama about young British soldiers on a perilous mission in World War I.,2019-12-24,2019-12-25,2020-01-24 17:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/24/movies/1917-review.html', 'suggested_link_text': 'Read the New York Times Review of 1917'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/23/movies/001917-pic-promo/001917-pic-promo-mediumThreeByTwo210-v3.jpg', 'height': 140, 'width': 210}"
7,Spies in Disguise,PG,0,Glenn Kenny,‘Spies in Disguise’ Review: Smug Agent Meets Gadget Geek,Will Smith and Tom Holland are an action odd couple in this animated comedy.,2019-12-24,2019-12-25,2020-01-24 17:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/24/movies/spies-in-disguise-review.html', 'suggested_link_text': 'Read the New York Times Review of Spies in Disguise'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/20/arts/spies1/spies1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
8,The Song of Names,PG-13,0,Ben Kenigsberg,"‘The Song of Names’ Review: A Prodigy, a War and a Mystery",A young violinist goes missing in London in 1951. The eventual answer as to why is powerful.,2019-12-24,2019-12-25,2020-01-17 17:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/24/movies/the-song-of-names-review.html', 'suggested_link_text': 'Read the New York Times Review of The Song of Names'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/24/arts/24songofnames/merlin_166233951_293db95b-16c2-4dd7-bd5e-5db139ef1431-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
9,Little Women,PG,1,A.O. Scott,‘Little Women’ Review: This Movie Is Big,"Greta Gerwig refreshes a literary classic with the help of a dazzling cast that includes Saoirse Ronan, Florence Pugh, Laura Dern and Meryl Streep.",2019-12-23,2019-12-25,2020-01-23 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/23/movies/little-women-review.html', 'suggested_link_text': 'Read the New York Times Review of Little Women'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/25/arts/23littlewomen/23littlewomen-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
