,display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,link,multimedia
0,Happy Face,,0,Ben Kenigsberg,‘Happy Face’ Review: Alternative Therapy,"In Alexandre Franchi’s film, a 19-year-old crashes a support group and leads its members to personal breakthroughs.",2020-12-31,,2020-12-31 16:30:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/31/movies/happy-face-review.html', 'suggested_link_text': 'Read the New York Times Review of Happy Face'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/30/arts/happyface1/merlin_181739499_299fa520-ef34-4e58-87fa-f08a7a9ef847-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
1,Two Ways Home,,0,Teo Bugbee,‘Two Ways Home’ Review: A Spare Family Drama Unfolds in Iowa,"Cast with mostly unknown actors, the film follows a woman who strains to connect with her daughter after being released from prison.",2020-12-31,,2020-12-31 12:04:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/31/movies/two-ways-home-review.html', 'suggested_link_text': 'Read the New York Times Review of Two Ways Home'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/31/arts/31twowayshome/31twowayshome-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
2,Shadow in the Cloud,R,0,Devika Girish,‘Shadow in the Cloud’ Review: There’s Mischief in the Air,A World War II heroine defies death and more in this horror-action hybrid.,2020-12-31,2021-01-01,2020-12-31 12:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/31/movies/shadow-in-the-cloud-review.html', 'suggested_link_text': 'Read the New York Times Review of Shadow in the Cloud'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/01/01/arts/shadow1/merlin_181669611_02ae36e2-880b-4d21-95ff-58c3302821d2-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
3,Pieces of a Woman,R,1,Jeannette Catsoulis,"‘Pieces of a Woman’ Review: A Raw, Ragged Study of a Loss",Vanessa Kirby gives an intensely physical performance as a woman whose life and marriage are upended by the death of a child.,2020-12-30,2021-01-07,2020-12-30 18:42:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/30/movies/pieces-of-a-woman-review.html', 'suggested_link_text': 'Read the New York Times Review of Pieces of a Woman'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/31/arts/31piecesofawoman/31piecesofawoman-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
4,Night of the Kings,,0,Nicolas Rapold,‘Night of the Kings’ Review: Telling Tales to a Captive Audience,Ancient tradition fuses with modern struggles in a prison in Ivory Coast.,2020-12-29,,2020-12-29 18:12:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/29/movies/night-of-the-kings-review.html', 'suggested_link_text': 'Read the New York Times Review of Night of the Kings'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/01/01/arts/29nightofthekings1/29nightofthekings1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
5,Herself,R,0,Glenn Kenny,‘Herself’ Review: She Does It All,"After fleeing her abusive husband, a woman figures out how to build a new home for herself and her daughters.",2020-12-29,2021-01-08,2020-12-29 12:04:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/29/movies/herself-review.html', 'suggested_link_text': 'Read the New York Times Review of Herself'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/31/arts/31herself1/31herself1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
6,Soul,PG,1,A.O. Scott,"‘Soul’ Review: Pixar’s New Feature Gets Musical, and Metaphysical",This inventive tale stars Jamie Foxx as a jazz musician caught in a world that human souls pass through on their way into and out of life.,2020-12-24,2020-12-25,2020-12-24 14:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/24/movies/soul-review-pixar.html', 'suggested_link_text': 'Read the New York Times Review of Soul'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/25/arts/25Soul-Cover-a/25Soul-Cover-a-mediumThreeByTwo440-v3.jpg', 'height': 140, 'width': 210}"
7,Dear Comrades,,1,Ben Kenigsberg,‘Dear Comrades!’ Review: When the Party Line Becomes a Tightrope,"With a bureaucrat as the central character, the film at times takes on a bleakly comic tone as it fills in the circumstances surrounding a massacre.",2020-12-24,,2020-12-24 12:04:05,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/24/movies/dear-comrades-review.html', 'suggested_link_text': 'Read the New York Times Review of Dear Comrades'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/25/arts/24dearcomrades/merlin_181385544_089f51f3-340a-4509-817f-22c0a2e5df33-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
8,News of the World,PG-13,0,A.O. Scott,"‘News of the World’ Review: Tom Hanks Does the Strong, Silent Type","The star can’t help but bring decency to Paul Greengrass’s lean, efficient western set in 1870s Texas.",2020-12-24,2020-12-25,2021-01-04 17:22:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/24/movies/news-of-the-world-review-tom-hanks.html', 'suggested_link_text': 'Read the New York Times Review of News of the World'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/25/arts/24newsoftheworld/24newsoftheworld-mediumThreeByTwo210-v3.jpg', 'height': 140, 'width': 210}"
9,The Dissident,PG-13,0,Devika Girish,‘The Dissident’ Review: A Murder for Power,Bryan Fogel’s new documentary about the killing of Jamal Khashoggi underlines the disregard for human rights when money and geopolitics are at play.,2020-12-24,2021-01-08,2020-12-24 18:06:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/24/movies/dissident-review-jamal-khashoggi.html', 'suggested_link_text': 'Read the New York Times Review of The Dissident'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/25/arts/23dissident/23dissident-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
10,Wonder Woman 1984,PG-13,0,Manohla Dargis,‘Wonder Woman 1984’ Review: It’s Not About What We Deserve,"The sequel to the 2017 hit finds Diana Prince, a.k.a. Wonder Woman, pining for love and saddled with a movie unworthy of her.",2020-12-24,2020-12-25,2020-12-24 15:04:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/24/movies/wonder-woman-1984-review.html', 'suggested_link_text': 'Read the New York Times Review of Wonder Woman 1984'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/24/arts/24woonderwoman/merlin_181384986_401ce1d0-2128-4492-be04-3f898683b76f-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
11,Promising Young Woman,R,0,Jeannette Catsoulis,‘Promising Young Woman’ Review: Courting Dangerous Liaisons,Carey Mulligan stars in this feminist revenge thriller that too often backs away from its potentially searing setup.,2020-12-24,2020-12-25,2020-12-24 14:40:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/24/movies/promising-young-woman-review.html', 'suggested_link_text': 'Read the New York Times Review of Promising Young Woman'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/25/arts/24promising/24promising-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
12,Your Name Engraved Herein,,0,Teo Bugbee,‘Your Name Engraved Herein’ Review: When Love Is All You Can See,The filmmaker Patrick Liu keeps the focus on the two young men in this Taiwanese drama and blurs the rest.,2020-12-24,2020-12-23,2020-12-24 12:04:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/24/movies/review-your-name-engraved-herein.html', 'suggested_link_text': 'Read the New York Times Review of Your Name Engraved Herein'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/24/obituaries/24YOUR-NAME/merlin_181385247_967c5801-e921-4114-853a-36a26b0c62ea-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
13,Pinocchio,PG-13,0,Glenn Kenny,‘Pinocchio’ Review: An Enchanting Yet Befuddling Adaptation,"Matteo Garrone, who directed the searing true-crime drama “Gomorrah,” takes a whack at Carlo Collodi’s classic tale.",2020-12-24,2020-12-25,2020-12-24 12:04:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/24/movies/pinocchio-review.html', 'suggested_link_text': 'Read the New York Times Review of Pinocchio'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/24/arts/24pinocchio-art/24pinocchio-art-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
14,DNA,,0,Jeannette Catsoulis,‘DNA’ Review: Digging for Roots,"After her immigrant grandfather dies, a woman wants to reclaim her ethnicity.",2020-12-24,2020-12-26,2020-12-24 12:04:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/24/movies/dna-review.html', 'suggested_link_text': 'Read the New York Times Review of DNA'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/25/arts/24dna/merlin_181380357_68302d5e-cb19-4cb7-b5e9-f30ce1965ff4-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
15,Sylvie's Love,M,1,Manohla Dargis,"‘Sylvie’s Love’ Review: In the Mood for Romance, Sighs and Tears",Tessa Thompson and Nnamdi Asomugha star in a swoony love story that wonderfully rethinks the classic Hollywood melodrama.,2020-12-22,2020-12-23,2020-12-22 19:18:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/22/movies/sylvies-love-review.html', 'suggested_link_text': ""Read the New York Times Review of Sylvie's Love""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/22/arts/22sylvie-2/22sylvie-2-mediumThreeByTwo440-v3.jpg', 'height': 140, 'width': 210}"
16,"Ariana Grande: Excuse Me, I Love You",TV-MA,0,Chris Azzopardi,"‘Ariana Grande: Excuse Me, I Love You’ Review: It’s Mutual","Sometimes it’s enough to adore a pop star from afar, even if you aren’t an Arianator.",2020-12-22,2020-12-21,2020-12-22 03:56:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/21/movies/review-ariana-grande-excuse-me-i-love-you.html', 'suggested_link_text': 'Read the New York Times Review of Ariana Grande: Excuse Me, I Love You'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/23/arts/ariana1/ariana1-mediumThreeByTwo210-v2.jpg', 'height': 140, 'width': 210}"
