,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
0,One Cut of the Dead: in Hollywood,2019,N/A,02 Mar 2019,58 min,"Comedy, Horror",Yûya Nakaizumi,Shin'ichirô Ueda,"Mao, Takayuki Hamatsu, Yuzuki Akiyama, Sakina Asamori","Six months passed since the horrible zombie attack. Chinatsu lost her voice after the incident and she now works as a waitress in Hollywood and is about to start a new life. However, real zombies arrive and terrorize the crew in Hollywood.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNTJiNzkzYzgtNGQ0MC00ZmUzLWIwYzktMDY3YzlkM2Q0ZjY4XkEyXkFqcGdeQXVyMzI1NjE1Nzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,148,tt10188260,movie,N/A,N/A,N/A,N/A,True,
1,Clemency,2019,R,27 Dec 2019,112 min,Drama,Chinonye Chukwu,Chinonye Chukwu,"Alfre Woodard, Richard Schiff, Aldis Hodge","Years of carrying out death row executions have taken a toll on prison warden Bernadine Williams. As she prepares to execute another inmate, Bernadine must confront the psychological and emotional demons her job creates, ultimately connecting her to the man she is sanctioned to kill.",English,United States,Nominated for 1 BAFTA Film Award3 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BOGM2ZDE4NjMtYjY5MC00MDcwLTllZDYtN2YyNDgxOWE5MjI3XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,6.5,"4,049",tt5577494,movie,27 Dec 2019,"$364,716",N/A,N/A,True,
2,The 21st Annual Animation Show of Shows,2019,N/A,25 Dec 2019,83 min,Animation,N/A,N/A,N/A,Anthology of animated shorts from around the world.,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt11457742,movie,N/A,N/A,N/A,N/A,True,
3,Just Mercy,2019,PG-13,10 Jan 2020,137 min,"Biography, Crime, Drama",Destin Daniel Cretton,"Destin Daniel Cretton, Andrew Lanham, Bryan Stevenson","Michael B. Jordan, Jamie Foxx, Brie Larson","A powerful and thought-provoking true-story, ""Just Mercy"" follows young lawyer Bryan Stevenson (Jordan) and his history-making battle for justice. After graduating from Harvard, Bryan might have had his pick of lucrative jobs. Instead, he heads to Alabama to defend those wrongly condemned, with the support of local advocate Eva Ansley (Larson.) One of his first, and most incendiary, cases is that of Walter McMillian (Foxx,) who, in 1987, was sentenced to die for the notorious murder of an 18-year-old girl, despite a preponderance of evidence proving his innocence and the fact that the only testimony against him came from a criminal with a motive to lie. In the years that follow, Bryan becomes embroiled in a labyrinth of legal and political maneuverings and overt and unabashed racism as he fights for Walter, and others like him, with the odds-and the system-stacked against them.",English,United States,9 wins & 19 nominations,https://m.media-amazon.com/images/M/MV5BYmM4YzA5NjUtZGEyOS00YzllLWJmM2UtZjhhNmJhM2E1NjUxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.6,"58,182",tt4916630,movie,25 Dec 2019,"$36,001,502",N/A,N/A,True,
4,What She Said: The Art of Pauline Kael,2018,N/A,25 Dec 2019,98 min,"Documentary, Biography",Rob Garver,Rob Garver,"Pauline Kael, Lili Anolik, Alec Baldwin","Pauline Kael, the New Yorker film critic for 25 years until the early 1990s, was a lightning rod of American culture. She waged a battle to be recognized and her opinions made her readers hate or love her. Her distinctive voice pioneered the art form, and was largely a result of stubborn determination, huge confidence, and a deep love of the arts. The movie also shows 20th-century movies through Pauline's eye, and shows Pauline's own life through moments of other movies. The filmmakers had complete access to the subject -- through Gina James, Pauline's only child and the executor of her estate; friends and colleagues; and Pauline's personal archives. With over 30 new interviews, including David O. Russell, Quentin Tarantino, Camille Paglia, Molly Haskell, Alec Baldwin Greil Marcus, Paul Schrader, John Guare and Joe Morgenstern. Sarah Jessica Parker voices Pauline through her writing and letters.",English,United States,1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BYWY3MGE0ZTItZGI5ZS00NzczLTgxMDItMTZjNmU5MmVhNzc3XkEyXkFqcGdeQXVyNDY1NTcwOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.7,757,tt4472096,movie,16 Jun 2020,N/A,N/A,N/A,True,
5,Ip Man 4: The Finale,2019,Not Rated,20 Dec 2019,107 min,"Action, Biography, Drama",Wilson Yip,"Edmond Wong, Hiroshi Fukazawa, Tai-lee Chan","Donnie Yen, Scott Adkins, Danny Kwok-Kwan Chan","Ip Man has to travel to San Francisco to find a new school for his son who just gets expelled. When he attempts to get a recommendation letter from the Chinese Benevolent Association, he finds that the martial arts masters are furious with one of Ip Man's students who teaches Kung Fu to Americans. Meanwhile, discrimination against Chinese is making things even more tense as Ip Man has to stand up for his fellow countrymen as well.","Cantonese, English, Mandarin","Hong Kong, China",12 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BNzYyZWIwZjQtZGVjZi00NWIxLTk0ODMtNzA3YzE5MWM3OWI0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.0,"29,290",tt2076298,movie,25 Dec 2019,"$3,956,031",N/A,N/A,True,
6,1917,2019,R,10 Jan 2020,119 min,"Action, Drama, War",Sam Mendes,"Sam Mendes, Krysty Wilson-Cairns","Dean-Charles Chapman, George MacKay, Daniel Mays","April 1917, the Western Front. Two British soldiers are sent to deliver an urgent message to an isolated regiment. If the message is not received in time the regiment will walk into a trap and be massacred. To get to the regiment they will need to cross through enemy territory. Time is of the essence and the journey will be fraught with danger.","English, French, German","United States, United Kingdom, India, Spain, Canada, China",Won 3 Oscars. 134 wins & 200 nominations total,https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,8.3,"506,553",tt8579674,movie,25 Dec 2019,"$159,227,644",N/A,N/A,True,
7,Spies in Disguise,2019,PG,25 Dec 2019,102 min,"Animation, Action, Adventure","Nick Bruno, Troy Quane","Lucas Martell, Cindy Davis, Brad Copeland","Rachel Brosnahan, Jarrett Bruno, Claire Crosby","Super spy Lance Sterling and scientist Walter Beckett are almost exact opposites. Lance is smooth, suave and debonair. Walter is not. But what Walter lacks in social skills he makes up for in smarts and invention, creating the awesome gadgets Lance uses on his epic missions. But when events take an unexpected turn, Walter and Lance suddenly have to rely on each other in a whole new way. And if this odd couple can't learn to work as a team, the whole world is in peril.","English, Japanese, Spanish, Korean","United States, Australia, United Kingdom",4 nominations,https://m.media-amazon.com/images/M/MV5BNzg1MzM3OWUtNjgzZC00NjMzLWE1NzAtOThiMDgyMjhhZDBhXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.8,"43,310",tt5814534,movie,N/A,"$66,757,013",N/A,N/A,True,
8,The Song of Names,2019,PG-13,25 Dec 2019,113 min,"Drama, Music, Mystery",François Girard,"Jeffrey Caine, Norman Lebrecht","Eddie Izzard, Gerran Howell, Stanley Townsend","Several years after his childhood friend, a violin prodigy, disappears on the eve of his first solo concert, an Englishman travels throughout Europe to find him.","English, Hebrew, Polish, Italian","Canada, Hungary, United Kingdom, Germany",7 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BZGY5N2U3YzktNDU5NC00Mzc5LWI4YmEtZTI0MWRiYjdlZjg3XkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.5,"3,768",tt1657517,movie,24 Mar 2020,"$1,077,584",N/A,N/A,True,
9,Little Women,2019,PG,25 Dec 2019,135 min,"Drama, Romance",Greta Gerwig,"Greta Gerwig, Louisa May Alcott","Saoirse Ronan, Emma Watson, Florence Pugh","In the years after the Civil War, Jo March (Saoirse Ronan) lives in New York City and makes her living as a writer, while her sister Amy March (Florence Pugh) studies painting in Paris. Amy has a chance encounter with Theodore ""Laurie"" Laurence (Timothée Chalamet), a childhood crush who proposed to Jo, but was ultimately rejected. Their oldest sibling, Meg March (Emma Watson), is married to a schoolteacher, while shy sister Beth (Eliza Scanlen) develops a devastating illness that brings the family back together.","English, French",United States,Won 1 Oscar. 78 wins & 225 nominations total,https://m.media-amazon.com/images/M/MV5BY2QzYTQyYzItMzAwYi00YjZlLThjNTUtNzMyMDdkYzJiNWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,7.8,"174,179",tt3281548,movie,25 Dec 2019,"$108,101,214",N/A,N/A,True,
