,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
0,Dear Zachary: A Letter to a Son About His Father,2008,Not Rated,01 Jan 2008,95 min,"Documentary, Biography, Crime",Kurt Kuenne,Kurt Kuenne,"Kurt Kuenne, Andrew Bagby, David Bagby","In 2001, Andrew Bagby, a medical resident, is murdered not long after breaking up with his girlfriend. Soon after, when she announces she's pregnant, one of Andrew's many close friends, Kurt Kuenne, begins this film, a gift to the child. Friends, relatives, and colleagues say warm and loving things about Andrew, home movies confirm his exuberance. Andrew's parents, Kathleen and David, move to Newfoundland, Canada where the ex-girlfriend has gone. They await an arrest and trial of the murderer. They negotiate with the ex-girlfriend to visit their grandchild, Zachary, and they seek custody. Is there any justice; is Zachary a sweet and innocent consolation for the loss of their son?",English,United States,2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BN2VhZWQzMWEtNjMyNS00ZDM3LThiMjAtZjA4M2YwOTFkNzc4XkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,8.5,"35,390",tt1152758,movie,24 Feb 2009,"$18,334",N/A,N/A,True,
1,France,2021,N/A,10 Dec 2021,133 min,"Comedy, Drama",Bruno Dumont,Bruno Dumont,"Léa Seydoux, Blanche Gardin, Benjamin Biolay","A celebrity journalist, juggling her busy career and personal life, has her life over-turned by a freak car accident.","French, German, English","France, Germany, Italy, Belgium",3 nominations,https://m.media-amazon.com/images/M/MV5BZDJlMzNmNjEtNmI4Ny00ZWQzLWEwY2YtOTIxMmE2OTQ3ODVmXkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,5.7,609,tt9714030,movie,N/A,N/A,N/A,N/A,True,
2,Red Rocket,2021,R,10 Dec 2021,128 min,"Comedy, Drama",Sean Baker,"Sean Baker, Chris Bergoch","Simon Rex, Bree Elrod, Brenda Deiss","Finding himself down and out in Los Angeles, ex porn star Mikey Saber decides to crawl back to his hometown of Texas City, Texas, where his estranged wife and mother-in-law are living. Just as this dysfunctional family seems to be making things work, Mikey meets a young woman named Strawberry working the cash register at a local doughnut shop. He falls right back into his old habits.",English,United States,3 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BZjYyZWMyNjYtZjNlNC00NmNhLThjOTItYmViMGU5ZDU4YTM4XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.6,833,tt13453006,movie,N/A,N/A,N/A,N/A,True,
3,The Lady of Heaven,2021,R,10 Dec 2021,141 min,"Action, Drama, History",Eli King,Sheikh Al-Habib,"Ray Fearon, Christopher Sciueref, Denise Black","The heart-wrenching journey of Lady Fatima, the daughter of Prophet Muhammad. Separated by 1400 years, an Iraqi child, in the midst of a war-torn country, learns the importance and power of patience. After losing his mother, the child finds himself in a new home, where a loving grandmother narrates the historical story of The Lady and how her suffering as the first victim of terror spun out of control into the 21st century.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMzZjMGRlYzYtMTljNS00MGQ0LTg2ZDYtZDJhMjViMWI0YzA0XkEyXkFqcGdeQXVyMTAyMDUwNDMy._V1_SX300.jpg,[],N/A,N/A,N/A,tt13097336,movie,N/A,N/A,N/A,N/A,True,
4,The Real Charlie Chaplin,2021,N/A,03 Sep 2021,114 min,Documentary,"Peter Middleton, James Spinney","Oliver Kindeberg, Peter Middleton, James Spinney","Pearl Mackie, Jeff Rawle, Paul Ryan","Having unprecedented access to the Chaplin archives, THE REAL CHARLIE CHAPLIN blends dramatic reconstructions with never-before-heard recordings, intimate home movies, behind-the-scenes material, and newly restored classic films to reveal a side of the worldwide icon that - until now - has been shrouded in mystery. Tracing back a century ago - when Chaplin first stepped onto the screen - the film recounts his meteoric rise from the slums of Victorian London to the heights of Hollywood superstardom to his scandalous fall from grace. For decades, he was the most famous man in the world. But who was THE REAL CHARLIE CHAPLIN?",English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BMGIxNjM4ZjgtODJiNC00OGM0LTk4MmEtYmIwODE2MzFjOTY2XkEyXkFqcGdeQXVyOTA3MTMyOTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,38,tt10193752,movie,N/A,N/A,N/A,N/A,True,
5,Beijing Spring,2020,N/A,N/A,100 min,Documentary,"Andy Cohen, Gaylen Ross","Andy Cohen, Gaylen Ross",N/A,The documentary film of the brief window of artistic freedom and democracy movement 1978 - 1982 following China's brutal cultural revolution.,"Chinese, French, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNDhiMjNiNWMtNmMzZi00OTg4LTkyNWMtMDExYTNiM2Q3MjFkXkEyXkFqcGdeQXVyNDk5MTM0Mw@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt7428112,movie,N/A,N/A,N/A,N/A,True,
6,National Champions,2021,N/A,10 Dec 2021,N/A,Drama,Ric Roman Waugh,Adam Mervis,"Alexander Ludwig, Timothy Olyphant, J.K. Simmons","Follows star quarterback who ignites a players strike hours before the biggest game of the year in order to fight for fair compensation, equality and respect for the student-athletes.",N/A,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWY3NTA0ZjktYjMwMy00YjU0LTlhNWQtYmIzMjAzNzY1MmMyXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,[],N/A,N/A,N/A,tt14547524,movie,N/A,N/A,N/A,N/A,True,
7,Joy Womack: The White Swan,2021,N/A,13 Nov 2021,90 min,Documentary,"Dina Burlis, Sergey Gavrilov, Danila Kuznetsov","Dina Burlis, Daria Kiseleva","Joy Annabelle Womack, Nikita Ivanov-Goncharov, Elizabeth Shvedenko",A story about Joy Womack's journey from an American girl from Texas who had a dream to become a Bolshoi ballet dancer to the first American to graduate from the Bolshoi Ballet Academy and to sign a contract with the Bolshoi Ballet before becoming a top ballerina of the Kremlin Ballet.,"Russian, English","Russia, United Kingdom, United States",N/A,https://m.media-amazon.com/images/M/MV5BNTcwYTAyZDAtMDcwNS00OTU4LWExOTMtOTMwMzNkZTRhZDQ5XkEyXkFqcGdeQXVyODkzMzQ3OA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt8357312,movie,N/A,N/A,N/A,N/A,True,
8,Agnes,2021,N/A,10 Dec 2021,93 min,"Drama, Horror",Mickey Reece,"Mickey Reece, John Selvidge","Molly C. Quinn, Sean Gunn, Chris Sullivan","Rumors of demonic possession at a religious convent prompts a church investigation into the strange goings-on among its nuns. A disaffected priest and his neophyte are confronted with temptation, bloodshed and a crisis of faith.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMmVlM2I5YWUtZmM2Yy00NmUxLThhNmYtNGU1N2ZmZjA5ZjY1XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,113,tt11348542,movie,N/A,N/A,N/A,N/A,True,
9,The Unforgivable,2021,R,10 Dec 2021,112 min,"Crime, Drama",Nora Fingscheidt,"Peter Craig, Hillary Seitz, Courtenay Miles","Sandra Bullock, Viola Davis, Vincent D'Onofrio","Released from prison after serving a sentence for a violent crime, Ruth Slater (Bullock) re-enters a society that refuses to forgive her past. Facing severe judgment from the place she once called home, her only hope for redemption is finding the estranged younger sister she was forced to leave behind.",English,"Germany, United States, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BM2M5MTJmOTEtNWU1Yy00NDNmLWI3MjMtNzFkN2FiZjE5Njg3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,179,tt11233960,movie,N/A,N/A,N/A,N/A,True,
